restaurant_name,lat,lng,menu_url,address,venue_name,distance_miles
Bellini's Ristorante & Bar,33.4079,-86.7454,https://ourbellinis.com/,"6801 Cahaba Valley Rd Suite 106 Hoover, AL 35242",,
Billy's Sports Grill - Overton,33.5186,-86.7118,https://billyssportsgrill.com/,"4520 Overton Road, 104 Birmingham, AL 35210",,
Birmingham Breadworks,33.5086654,-86.7941917,https://birminghambreadworks.com/,"2408 7th Avenue South Birmingham, AL 35233",,
Bistro Two Eighteen,33.5159357,-86.8067444,https://bistro218.com/,"218 20th St. North Birmingham, AL 35203",,
Bistro V,33.429,-86.7909,https://bistro-v.com/,"521 Montgomery Highway, Ste. 113 Vestavis Hills, AL 35216",,
Blueprint on 3rd,33.516638,-86.788852,https://blueprinton3rd.com/,"3000 3rd Avenue South Birmingham, AL 35233",,
Bocca Ristorante,33.5178988,-86.8016293,https://boccabirmingham.com/,"2312 2nd Avenue North Birmingham , AL 35203",,
Bottega Cafe,33.5020003,-86.7899933,https://bottegarestaurant.com/,"2242 Highland Avenue South Birmingham, AL 35205",,
Bottega Restaurant,33.5024892,-86.790043,https://bottegarestaurant.com/,"2240 Highland Avenue South Birmingham, AL 35205",,
Cafe Dupont,33.5146871,-86.8056742,https://cafedupont.net/,"113 20th Street North Birmingham, AL 35203",,
Chez Fonfon,33.5005321,-86.7962427,https://fonfonbham.com/,"2007 11th Avenue South Birmingham, AL 35205",,
Dreamland Bar-B-Que,33.494035,-86.8026743,https://dreamlandbbq.com/,"1427 14th Avenue South Birmingham, AL 35205",,
Dyron's Lowcountry,33.5015534,-86.7563586,http://dyronslowcountry.com/,"121 Oak Street Mountain Brook, AL 35213",,
Eli's Jerusalem Grill,33.4326324,-86.7144195,https://elisjerusalemgrill.com/,"4673 Highway 280 Birmingham, AL 35242",,
FoodBar,33.4475,-86.7876,https://foodbarbham.com/,"3156 Heights Village Vestavia Hills, AL 35243",,
Galley & Garden,33.5011422,-86.7907231,https://galleyandgarden.com/,"2220 Highland Avenue South Birmingham, AL 35205",,
Highlands Bar and Grill,33.5005322,-86.7962422,https://highlandsbarandgrill.com/,"2011 11th Avenue South Birmingham, AL 35205",,
Piggly Wiggly Delis,33.4814219,-86.7119523,https://pigbham.com/,"3800 River Run Mountain Brook, AL 35243",,
Sloan's,33.5177223,-86.8019386,https://sloansbham.com/,"2308 2nd Avenue North Birmingham , AL 35203",,
Taco Mama,33.502255,-86.755486,https://tacomamaonline.com/,"63 Church Street Mountain Brook, AL 35213",,
Ted's Restaurant,33.504042,-86.8134071,https://tedsbirmingham.com/,"328 12th Street South Birmingham, AL 35223",,
"The Gardens Cafe, by Kathy G.",33.4904287,-86.7751477,https://kathyg.com/,"2612 Lane Park Road Birmingham, AL 35223",,
The Red Cat,33.5166978,-86.7905637,https://theredcatcoffeehouse.com/,"2901 2nd Avenue South Birmingham, AL 35233",,
Troup's Pizza,33.4475,-86.7876,https://troupspizza.com/,"Heights Center 3144 Vestavia Hills, AL 35243",,
Vino & Gallery Bar,33.4955502,-86.7815278,https://vinobirmingham.com/,"1930 Cahaba Road Birmingham, AL 35223",,
